ssyk96,ssyk96_occ_title,tot_earnings_1962,tot_earnings_1963,tot_earnings_1964,tot_earnings_1965,tot_earnings_1966,tot_earnings_1967,tot_earnings_1968,tot_earnings_1969,tot_earnings_1970,tot_earnings_1971,tot_earnings_1972,tot_earnings_1973,tot_earnings_1974,tot_earnings_1975,obs_1962,obs_1963,obs_1964,obs_1965,obs_1966,obs_1967,obs_1968,obs_1969,obs_1970,obs_1971,obs_1972,obs_1973,obs_1974,obs_1975,log_ratio,sum_reasoning_ability,sum_knowledge,share_emp_1962,share_emp_1975,share_earn_1962,share_earn_1975,d_share_emp,d_share_earn,d_share_emp_t,d_share_earn_t,sector,x_plot,y_plot
3133,Broadcasting and telecommunications equipment operators,22932,5243,37245,19415,26557,29966,13306,37981,27058,8797,25858,32767,46386,33212,8,4,14,7,11,9,5,12,10,6,9,9,13,10,0.263236986304173,0.576522651257825,0.445588783631418,0.000179989650595091,0.000176550555251496,0.000170441866301868,0.00016479034150372,-3.43909534359453e-06,-5.65152479814845e-06,-0.00120368278893824,-0.00197803109959512,"",,
3134,Medical equipment operators and technicians,97925,138983,156274,176395,175311,183837,177610,227100,166046,200101,212929,208041,195088,143462,34,50,56,63,57,62,52,70,48,64,63,57,52,42,0.196138874640684,0.621004138854997,0.510351063930049,0.000764956015029136,0.000741512332056284,0.000727826607256691,0.000711825604384158,-2.34436829728515e-05,-1.60010028725336e-05,-0.00820510490273856,-0.00560029245681365,"",,
3141,Ships´ engineers,43141,92597,78293,84531,99867,56929,86460,70016,84469,100736,126486,119673,84284,79390,10,23,26,23,23,15,22,14,17,20,26,26,22,23,0.311634926832813,0.633333333333333,0.463757575757576,0.000224987063243863,0.000406066277078441,0.000320645061666182,0.000393915006984834,0.000181079213834578,7.32699453186517e-05,0.063293071570092,0.0256388614716899,"",,
3142,Ships´ deck officers and pilots,142763,175802,193560,238293,227104,237985,200423,249041,202578,261002,232892,217788,198547,220503,41,49,56,61,54,55,44,56,49,66,53,56,55,60,0.340840934274447,0.574594129086027,0.41003127113341,0.00092244695929984,0.00105930333150898,0.0010610846048689,0.00109408541107415,0.000136856372209137,3.30008062052517e-05,0.0478631471606301,0.0115497685756801,"",,
3143,Aircraft pilots and related associate professionals,150670,157467,306106,465957,571773,363709,375674,323289,241500,252485,368787,284434,247099,307037,21,23,47,69,88,66,62,61,60,54,71,51,50,57,0.386137380412994,0.745037981671635,0.506799271281881,0.000472472832812113,0.00100633816493353,0.00111985330523733,0.00152344731073942,0.000533865332121415,0.000403594005502088,0.184722721160015,0.140329448798054,"",,
3144,Air traffic controllers,80875,87152,136644,72076,64424,131663,112385,130399,80181,142750,88602,82023,93840,169275,21,20,32,13,13,23,18,18,14,20,12,11,14,25,0.564599170847759,0.783333333333333,0.445393939393939,0.000472472832812113,0.000441376388128741,0.000601102648576818,0.000839903801579012,-3.10964446833726e-05,0.000238801153002194,-0.010883325920506,0.0833865931514696,"",,
3145,Air traffic safety technicians,54065,21595,60840,104415,117537,86875,91553,55057,51029,62048,80457,45675,65177,100164,12,5,13,26,26,20,23,12,13,14,20,10,16,21,0.468760257906696,0.691666666666667,0.432939393939394,0.000269984475892636,0.000370756166028142,0.000401837585104243,0.000496990839647675,0.000100771690135506,9.51532545434319e-05,0.0352554773651115,0.0332913345627819,"",,
3151,Building and fire inspectors,67669,82161,61775,95794,71187,107636,147073,144492,100370,189533,133482,161034,195212,198205,20,24,19,25,22,31,40,34,25,45,31,36,45,47,0.355855447453,0.674860261962213,0.474603730944692,0.000449974126487727,0.000829787609682033,0.000502949182399316,0.000983447839267276,0.000379813483194306,0.00048049865686796,0.132159860341904,0.166615427891765,"",,
3152,"Safety, health and quality inspectors",355570,317294,274987,371117,372437,462410,461993,424622,504337,503480,434616,553444,612357,608326,111,102,94,117,110,136,129,117,134,130,107,133,154,150,0.439563751990022,0.615699821369314,0.396683149770994,0.00249735640200688,0.00264825832877244,0.00264277055646936,0.00301837436124268,0.000150901926765559,0.000375603804773322,0.0527666467046861,0.130711780246643,"",,
3211,Agronomy and horticultural technicians,56456,48683,13320,40088,52556,23099,69393,101248,132616,82836,108252,78873,84776,136671,21,6,4,15,19,9,20,28,37,27,29,22,21,37,0.391253023668769,0.631089601863023,0.427930979005282,0.000472472832812113,0.000653237054430536,0.000419608669280406,0.000678130216899159,0.000180764221618423,0.000258521547618753,0.0631832645932727,0.0902368180177557,"",,
3212,Forestry technicians,85280,106586,109507,102734,116718,59754,83869,88708,115163,104637,115656,72189,101593,125793,32,41,42,36,36,20,24,25,33,28,32,22,30,33,0.421974605659098,0.713276246266942,0.471405579373533,0.000719958602380363,0.000582616832329938,0.000633842768106721,0.000624156070961623,-0.000137341770050425,-9.6866971450979e-06,-0.0480326461283841,-0.00339033101084716,"",,
3221,Occupational therapists,30837,18264,26174,34486,20345,37320,29408,32279,25358,53405,29366,47582,31856,38426,14,7,13,14,9,14,10,12,10,17,10,17,10,13,0.323214625187335,0.662661375199884,0.480267138898801,0.000314981888541409,0.000229515721826945,0.000229195701689809,0.000190661015976814,-8.54661667144637e-05,-3.85346857129958e-05,-0.0299042410685263,-0.0134863223052944,"",,
3222,"Hygienists, health and environmental officers",114765,92526,133986,135736,147713,124215,150802,124216,184679,97844,137520,142980,177691,148144,37,35,48,48,54,43,44,38,55,32,38,40,51,41,0.312179134174299,0.726578968737312,0.53205921416874,0.000832452134002295,0.000723857276531135,0.000852989742985082,0.000735056616636368,-0.00010859485747116,-0.000117933126348714,-0.037989913452506,-0.0412531763910856,"",,
3223,Dieticians,3039,0,0,0,2685,4629,6676,2807,455,2872,9037,10218,4333,8113,2,0,0,0,1,1,1,1,2,1,3,5,2,2,0.283080077902856,0.692,0.521393939393939,4.49974126487727e-05,3.53101110502993e-05,2.25873378550226e-05,4.02548488684716e-05,-9.68730159847345e-06,1.7667511013449e-05,-0.00339054256709673,0.00618355004149524,"",,
